what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925123
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925139
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925170
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925217
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925248
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925264
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925295
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925327
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925342
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925373
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925405
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925420
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925483
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925514
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925545
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925561
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925608
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690925748
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926217
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926248
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926280
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926295
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926327
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926358
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926373
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690926405
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690935389
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1281690935592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1281690993996
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1281690996918
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1281690998777
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1281690998996
stopped,bundle,com.adobe.coldfusion.as2cfc,1.0.191910,"com.adobe.coldfusion.as2cfc",1281691002574
stopped,bundle,com.adobe.coldfusion.cfc2as,1.0.191910,"com.adobe.coldfusion.cfc2as",1281691002574
stopped,bundle,com.adobe.coldfusion.crudcfc,1.0.191910,"com.adobe.coldfusion.crudcfc",1281691002574
stopped,bundle,com.adobe.coldfusion.fbext_help,1.0.1,"com.adobe.coldfusion.fbext_help",1281691002574
stopped,bundle,com.adobe.coldfusion.logviewer,1.0.191910,"com.adobe.coldfusion.logviewer",1281691002574
stopped,bundle,com.adobe.coldfusion.rds.debugger,1.0.191910,"com.adobe.coldfusion.rds.debugger",1281691002574
stopped,bundle,com.adobe.coldfusion.servicebrowser,1.0.191910,"com.adobe.coldfusion.servicebrowser",1281691002574
stopped,bundle,com.adobe.coldfusion.wizards.appgeneration,1.0.191910,"com.adobe.coldfusion.wizards.appgeneration",1281691002574
stopped,bundle,com.adobe.coldfusion.rds.client,1.0.191910,"com.adobe.coldfusion.rds.client",1281691002574
stopped,bundle,com.adobe.coldfusion_help_8,1.0.1,"com.adobe.coldfusion_help_8",1281691002574
stopped,bundle,com.bbdsoft.jvider_eclipse,1.7.0,"com.bbdsoft.jvider_eclipse",1281691002574
stopped,bundle,com.google.appengine.eclipse.core,1.2.0.v200912062003,"com.google.appengine.eclipse.core",1281691002574
stopped,bundle,com.google.gwt.eclipse.oophm,1.2.0.v200912062003,"com.google.gwt.eclipse.oophm",1281691002574
stopped,bundle,com.google.gdt.eclipse.core,1.2.0.v200912062003,"com.google.gdt.eclipse.core",1281691002574
stopped,bundle,com.google.gdt.eclipse.platform,1.2.0.v200912062003,"com.google.gdt.eclipse.platform",1281691002574
stopped,bundle,com.google.gdt.eclipse.platform.shared,1.2.0.v200912062003,"com.google.gdt.eclipse.platform.shared",1281691002574
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1281691002574
stopped,bundle,com.maintainj.launcher.j2se,2.8.0,"com.maintainj.launcher.j2se",1281691002574
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1281691002574
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1281691002574
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1281691002574
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090527,"org.eclipse.pde.runtime",1281691002574
