what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892773132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892773143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892773165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321892773183
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321892796782
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321892798627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321892809752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321892812436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321892856935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321892860158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892862808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892862960
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892863119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892863271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892863423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892863599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892863767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892889639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892889669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892889683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892889704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321892889724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321892901903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321892906666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892907870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892907891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892907902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892907924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321892907941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892911533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892913590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892913610
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892916750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892916767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892918797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892918817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892920694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892920713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892924109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892928691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321892938057
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1321892939790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321892940182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321892956809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1321892974262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1321892974634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321892976993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321892979968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1321892996799
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1321893010431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321893011169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321893014945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893015958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893015986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893015997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893016017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321893016035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893027498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893037038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321893038558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321893043863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1321893044586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321893171005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900217613
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900219393
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900219393
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900220427
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900221044
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1321900224585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900240005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900250126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900259298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900270226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900270248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900271512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900280381
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900282268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900282271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900285382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900286452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900286456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900288750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900293864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900296274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900296479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900297769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900298821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900300170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900301140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900301162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900302193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900304227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900305232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900305256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900306179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900307118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900307207
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900316706
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900316759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900323402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900323553
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900327465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900329679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900330522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1321900335036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321900337800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321900340763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900344069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900344098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900344120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900347712
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900350070
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900352742
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900352789
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900355692
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900355692
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900356142
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1321900358501
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900359827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1321900364986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1321900366499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900369990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900370012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900370039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900458242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900472265
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900472275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900473816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900477209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900481872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900527186
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900527240
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900527285
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1321900596090
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900596349
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900596378
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900599975
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900601345
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900602382
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900603192
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900603905
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1321900604993
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1321900606665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900699999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900700021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1321900700044
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321900716914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900719002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321900720831
