what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1295336719794
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1295336719810
stopped,bundle,com.cloudgarden.jigloo,4.6.2,"com.cloudgarden.jigloo",1295336719810
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1295336719810
stopped,bundle,net.sf.fjep.fatjar,0.0.31,"net.sf.fjep.fatjar",1295336719825
stopped,bundle,org.dyno.visual.swing.borders,0.9.12.I20090506-2220,"org.dyno.visual.swing.borders",1295336719825
stopped,bundle,org.dyno.visual.swing.grouplayouts,0.9.12.I20090506-2220,"org.dyno.visual.swing.grouplayouts",1295336719841
stopped,bundle,org.dyno.visual.swing.layouts,0.9.12.I20090527-2200,"org.dyno.visual.swing.layouts",1295336719856
stopped,bundle,org.dyno.visual.swing.lnfs,0.9.12.I20090506-2220,"org.dyno.visual.swing.lnfs",1295336719856
stopped,bundle,org.dyno.visual.swing.parser,0.9.12.I20090522-2330,"org.dyno.visual.swing.parser",1295336719872
stopped,bundle,org.dyno.visual.swing.types,0.9.12.I20090527-2200,"org.dyno.visual.swing.types",1295336719888
stopped,bundle,org.dyno.visual.swing.widgets,0.9.12.I20090527-2200,"org.dyno.visual.swing.widgets",1295336719888
stopped,bundle,org.dyno.visual.swing,0.9.12.I20090527-2200,"org.dyno.visual.swing",1295336719903
stopped,bundle,de.loskutov.anyedit.AnyEditTools,2.3.1.201005301956,"de.loskutov.anyedit.AnyEditTools",1295336719903
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1295336721385
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1295336721401
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1295336721432
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1295427351873
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1295427351873
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1295427351888
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295427351888
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1295427351904
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1295427351904
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1295427351904
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1295427351920
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1295427351920
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1295427351920
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1295427351935
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1295427351935
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1295427351935
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1295427351951
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1295427351966
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1295427351982
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1295427351982
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1295427351982
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1295427351998
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1295427351998
